"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
746040;2026-01-16;"sexta-feira";"16:20:00";"PE";232;246,3;"ARCOVERDE";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Sem Vítimas";"Anoitecer";"Decrescente";"Sol";"Simples";"Declive;Interseção de Vias";"Não";2;0;0;0;2;0;0;2;-8,42111411;-37,01996684;"SPRF-PE";"DEL04-PE";"UOP02-DEL04-PE"
746042;2026-01-16;"sexta-feira";"19:10:00";"PR";376;619,3;"SAO JOSE DOS PINHAIS";"Ausência de reação do condutor";"Colisão frontal";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Ignorado";"Dupla";"Reta;Interseção de Vias";"Sim";4;0;0;1;3;0;1;2;-25,611435;-49,171592;"SPRF-PR";"DEL01-PR";"UOP04-DEL01-PR"
746049;2026-01-16;"sexta-feira";"17:30:00";"MG";365;323;"JOAO PINHEIRO";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Interseção de Vias";"Não";2;0;1;0;1;0;1;2;-18,27765486;-45,89809924;"SPRF-MG";"DEL10-MG";"UOP02-DEL010-MG"
746050;2026-01-16;"sexta-feira";"19:30:00";"ES";101;346,9;"GUARAPARI";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Curva";"Não";3;0;1;0;1;1;1;3;-20,654046;-40,624735;"SPRF-ES";"DEL03-ES";"UOP01-DEL03-ES"
746051;2026-01-16;"sexta-feira";"17:21:00";"MT";70;517;"VARZEA GRANDE";"Transitar no Acostamento";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-15,699505;-56,164507;"SPRF-MT";"DEL01-MT";"UOP02-DEL01-MT"
746054;2026-01-16;"sexta-feira";"19:00:00";"MG";50;203;"DELTA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Aclive";"Não";2;0;1;0;1;0;1;2;-19,95918;-47,79929;"SPRF-MG";"DEL13-MG";"UOP01-DEL13-MG"
746059;2026-01-16;"sexta-feira";"11:10:00";"PR";153;343,3;"IRATI";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;1;0;0;0;0;0;1;-25,561034;-50,678015;"SPRF-PR";"DEL08-PR";"UOP02-DEL08-PR"
746065;2026-01-16;"sexta-feira";"18:05:00";"RO";364;420,5;"JARU";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Interseção de Vias;Reta";"Não";3;0;0;1;2;0;1;2;-10,46825688;-62,45041287;"SPRF-RO";"DEL03-RO";"UOP02-DEL03-RO"
746068;2026-01-16;"sexta-feira";"17:30:00";"MG";40;243,9;"SAO GONCALO DO ABAETE";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Aclive;Curva";"Não";2;0;0;0;1;1;0;2;-18,09745028;-45,47206892;"SPRF-MG";"DEL14-MG";"UOP02-DEL14-MG"
746080;2026-01-16;"sexta-feira";"17:40:00";"GO";153;164;"CAMPINORTE";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Declive";"Não";4;0;0;0;3;4;0;7;-14,21703369;-49,13134861;"SPRF-GO";"DEL07-GO";"UOP02-DEL07-GO"
746096;2026-01-16;"sexta-feira";"19:50:00";"CE";304;100;"ARACATI";"Manobra de mudança de faixa";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;1;1;0;2;2;-4,57949887;-37,71635872;"SPRF-CE";"DEL03-CE";"UOP02-DEL03-CE"
746099;2026-01-17;"sábado";"00:05:00";"PR";369;508,2;"CASCAVEL";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Ignorado";"Dupla";"Curva";"Sim";3;0;1;0;1;2;1;3;-24,96539002;-53,40374705;"SPRF-PR";"DEL04-PR";"UOP01-DEL04-PR"
746102;2026-01-17;"sábado";"02:05:00";"BA";101;875;"TEIXEIRA DE FREITAS";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta;Rotatória";"Sim";4;0;0;2;1;1;2;3;-17,526305;-39,708424;"SPRF-BA";"DEL09-BA";"UOP02-DEL09-BA"
746104;2026-01-17;"sábado";"02:00:00";"PR";116;55;"CAMPINA GRANDE DO SUL";"Neblina";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nevoeiro/Neblina";"Dupla";"Aclive";"Não";3;0;1;0;1;3;1;5;-25,2745211;-48,9223706;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
746108;2026-01-17;"sábado";"02:50:00";"MG";364;34;"FRUTAL";"Ingestão de álcool pelo condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-19,9947964;-48,9554251;"SPRF-MG";"DEL13-MG";"UOP02-DEL13-MG"
746109;2026-01-17;"sábado";"03:15:00";"RJ";116;203;"SEROPEDICA";"Condutor Dormindo";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;1;0;0;2;1;-22,72631548;-43,67800141;"SPRF-RJ";"DEL06-RJ";"UOP02-DEL06-RJ"
746112;2026-01-17;"sábado";"03:00:00";"AL";101;153,9;"JEQUIA DA PRAIA";"Reação tardia ou ineficiente do condutor";"Colisão transversal";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;1;0;0;0;1;0;2;-9,889628;-36,169532;"SPRF-AL";"DEL02-AL";"UOP02-DEL02-AL"
746115;2026-01-17;"sábado";"04:20:00";"SE";235;54,3;"ITABAIANA";"Ingestão de álcool pelo condutor";"Colisão transversal";"Com Vítimas Fatais";"Amanhecer";"Decrescente";"Céu Claro";"Simples";"Reta;Interseção de Vias";"Sim";2;1;0;0;1;0;0;2;-10,671105;-37,444895;"SPRF-SE";"DEL01-SE";"UOP02-DEL01-SE"
746125;2026-01-17;"sábado";"05:20:00";"PI";343;210;"CAPITAO DE CAMPOS";"Transitar no Acostamento";"Tombamento";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-4,4439705;-41,91919327;"SPRF-PI";"DEL02-PI";"UOP01-DEL02-PI"
746126;2026-01-17;"sábado";"06:20:00";"PB";230;13;"CABEDELO";"Retorno proibido";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Em Obras;Desvio Temporário";"Sim";2;0;1;0;0;1;1;2;-7,082288;-34,848795;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
746129;2026-01-17;"sábado";"07:00:00";"TO";153;320;"GUARAI";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive;Reta";"Não";8;0;0;0;7;1;0;3;-8,716175;-48,506122;"SPRF-TO";"DEL02-TO";"UOP02-DEL02-TO"
746142;2026-01-17;"sábado";"07:00:00";"MS";163;485,9;"CAMPO GRANDE";"Transitar na contramão";"Colisão lateral sentido oposto";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Aclive;Reta";"Sim";3;0;0;0;1;2;0;3;-20,43377913;-54,5437181;"SPRF-MS";"DEL01-MS";"UOP02-DEL01-MS"
